annotation_batch,dataset_partition,item_id,reviewer_slot,utterance,reviewed_Formality,reviewed_Energy,reviewed_Intimacy,reviewed_Humor,reviewed_Curiosity,reviewer_id,review_status,reviewer_notes
bias_calib,train,bias_calib-0039,B,I'm going to New York and hurry,,,,,,,pending,
bias_calib,train,bias_calib-0021,B,So I want to lunch I want to eat lunch with me with you,,,,,,,pending,
bias_calib,train,bias_calib-0054,B,"Oh, okay. So, let's make the reservations for 12 people, and around about 7:00ish for Friday, next Friday.",,,,,,,pending,
bias_calib,train,bias_calib-0037,B,There is eh no people in lift,,,,,,,pending,
bias_calib,train,bias_calib-0057,B,Okay. Okay. Thank you.,,,,,,,pending,
bias_calib,train,bias_calib-0040,B,"And so, could you come to my my room and che check it and started start the repair my broken window today",,,,,,,pending,
bias_calib,train,bias_calib-0048,B,I will go for Russ whipped cream and little sugar then I'm okay.,,,,,,,pending,
bias_calib,train,bias_calib-0016,B,"And by the way, Mister David Jordan, please record your presentations in your own folder. Not in mine.",,,,,,,pending,
bias_calib,train,bias_calib-0031,B,Oh mhm how much the ticket,,,,,,,pending,
bias_calib,train,bias_calib-0015,B,And and this is all tying in very nicely.,,,,,,,pending,
bias_calib,train,bias_calib-0030,B,watch the movie with big big music,,,,,,,pending,
bias_calib,train,bias_calib-0017,B,"Yeah, that that's a better question actually.",,,,,,,pending,
bias_calib,train,bias_calib-0027,B,Are there other,,,,,,,pending,
bias_calib,train,bias_calib-0034,B,I lived in in England for about five years,,,,,,,pending,
bias_calib,train,bias_calib-0026,B,"Instead, I started picking up playing the blues harmonica",,,,,,,pending,
bias_calib,train,bias_calib-0025,B,"if you have a express train, um I I want to take that",,,,,,,pending,
bias_calib,train,bias_calib-0013,B,All of the components have been used in other things before.,,,,,,,pending,
bias_calib,train,bias_calib-0007,B,We just diske discuss it as you designed it,,,,,,,pending,
bias_calib,train,bias_calib-0055,B,"Yes, that's right. Yes, please.",,,,,,,pending,
bias_calib,train,bias_calib-0053,B,carry c a r r y.,,,,,,,pending,
bias_calib,train,bias_calib-0009,B,And all curves have already been done.,,,,,,,pending,
bias_calib,train,bias_calib-0003,B,"And it's just to, it's just to playback something?",,,,,,,pending,
bias_calib,train,bias_calib-0002,B,"Oh Michael, hi.",,,,,,,pending,
bias_calib,train,bias_calib-0043,B,"Okay, that's fine.",,,,,,,pending,
bias_calib,train,bias_calib-0036,B,"Just moment, please",,,,,,,pending,
bias_calib,train,bias_calib-0006,B,"Okay and please please copy all the mails, okay, all the discussions to me, okay",,,,,,,pending,
bias_calib,train,bias_calib-0004,B,because then they have to keep m their mobiles outside in solar energy,,,,,,,pending,
bias_calib,train,bias_calib-0049,B,"Next Friday, please.",,,,,,,pending,
bias_calib,train,bias_calib-0024,B,And I c ur a few people are having ur ur coffee inside ja the log house,,,,,,,pending,
bias_calib,train,bias_calib-0060,B,"Now, ASAP, please.",,,,,,,pending,
bias_calib,train,bias_calib-0019,B,"I think that's nice, yeah.",,,,,,,pending,
bias_calib,train,bias_calib-0044,B,"Yeah. I will have a venti caramel macchiato with soy milk, please.",,,,,,,pending,
bias_calib,train,bias_calib-0008,B,Means let's say this this can move the the larger digits and this can move the smaller digits.,,,,,,,pending,
bias_calib,train,bias_calib-0047,B,I want a a tall cappuccino.,,,,,,,pending,
bias_calib,train,bias_calib-0029,B,Can I can I er could you please give me the ticket,,,,,,,pending,
bias_calib,train,bias_calib-0035,B,"someones are not so good at skiing, so I think he is er almost",,,,,,,pending,
bias_calib,train,bias_calib-0028,B,I'll come back later When when what time,,,,,,,pending,
bias_calib,train,bias_calib-0022,B,They were were eating too much,,,,,,,pending,
bias_calib,train,bias_calib-0005,B,"I know personally that would be a very attractive feature, is to have a uh have a button I can push to find my remote control.",,,,,,,pending,
bias_calib,train,bias_calib-0058,B,I would just need their phone number?,,,,,,,pending,
bias_calib,train,bias_calib-0012,B,Just to participant one.,,,,,,,pending,
bias_calib,train,bias_calib-0018,B,so this might be a little limiting for your creativity,,,,,,,pending,
bias_calib,train,bias_calib-0052,B,"Italian, American, or Mexican.",,,,,,,pending,
bias_calib,train,bias_calib-0038,B,Um the kitty er the kitty was so cute that uh she wanted him to ur she wanted to er she wanted to keep him keep her,,,,,,,pending,
bias_calib,train,bias_calib-0045,B,"No, thank you.",,,,,,,pending,
bias_calib,train,bias_calib-0020,B,"how it looks, or like what it does?",,,,,,,pending,
bias_calib,train,bias_calib-0051,B,"Okay. Yeah, that's good enough.",,,,,,,pending,
bias_calib,train,bias_calib-0041,B,b e e f e r Beefer.,,,,,,,pending,
bias_calib,train,bias_calib-0059,B,"No. No, thank you.",,,,,,,pending,
bias_calib,train,bias_calib-0056,B,"Yeah, then can you tell me who directed the movie?",,,,,,,pending,
bias_calib,train,bias_calib-0032,B,"It's easy than speak American or British, I think",,,,,,,pending,
bias_calib,train,bias_calib-0046,B,I'd like to order a coffee at the Starbucks in Springfield Plaza in Springfield.,,,,,,,pending,
bias_calib,train,bias_calib-0011,B,would we even technically be possible to include video recorder functions on it?,,,,,,,pending,
bias_calib,train,bias_calib-0001,B,do we want to just have a device that maybe sits and pretends it's a fruit?,,,,,,,pending,
bias_calib,train,bias_calib-0010,B,"Yeah, but I'll zap.",,,,,,,pending,
bias_calib,train,bias_calib-0050,B,That sounds good.,,,,,,,pending,
bias_calib,train,bias_calib-0042,B,"7:30, I'll be fine.",,,,,,,pending,
bias_calib,train,bias_calib-0033,B,"Then I had school, met my friends, and I was waiting for this interview",,,,,,,pending,
bias_calib,train,bias_calib-0014,B,We may have to do some more research into other strain injuries that we don't know about.,,,,,,,pending,
bias_calib,train,bias_calib-0023,B,"Um this is so emergency er condition, so I have to go back, you know",,,,,,,pending,
